"Page Number","Chapter","Text Title","Sidebar Vocabulary"
"10","1","This Is Me","health worker, upper secondary school, excited, vocational, healthcare, Healthcare, Childhood and Youth Development, mental, development, qualified, profession, education programme, pharmacy technician, foundation course, basic skills, ambulance service technician, vehicle, attend, intermediate course, apprentice, severe, crucial, dental assistant, Health Service, advanced course, regular hours, primary school, child care and youth worker, trade examination, special needs, be entitled to, provide, cooperate, guardian, make oneself useful"
"14","1","Play the Game",""
"16","1","Learning Strategies",""
"18","1","Vocational English","vocational, profession, topic, knowledge, current, issue, vocabulary, HSE, compare, dictionary entry, term, hematoma, noun, pronounce, plural, tissue, blood vessel, equipment, source, demanding, further, assess, progress"
"26","1","English at Work","achieve, unique, tribe, invade, trade, impact, Old Norse, conquer, considerable, establish, invention, pace, corporation, factory, employees, instruction manual"
"30","1","Discovering the Meaning of Words","porch, step, approaching, reveal, imitate, succeed, pride, rag doll, lap, apply to, tussle, subject, impatient, seize, dash, fragment, path, well-house, spout, gush, awaken, eager, quiver, long for, stretch, spell, proud, difference, mug, thought"
"36","1","Tools for Language Learning","tool, improve, grammar, audio, pronounce, word class, noun, provide, spell checker, suggest, pop up, detect, improper, common, spelling, device, tutorial"
"40","1","Important Events in Healthcare","inappropriate, superintendent, facilities, pharmacologist, sample, fungus, antibiotic, tribe, crescent, humanitarian, staff, civilians, chalk, jar, detergent, fluoride, decay"
"44","1","Sharing Information: ""Show and Tell""",""
"46","1","Hall of Fame","hall of fame, champion, politician, preacher, truth seekers"
"50","1","Chapter Checkpoint",""
"54","2","Safety First!","disease, related to, agriculture, mining, construction, lumberjack, employee, include, protective, hardhat, goggles, prevent, recovery, obvious, precautions, ergonomics, avoid, injury, properly, spread, rubber, disinfectant, hazard, employer, conditions, concern, accident, common, safety rules"
"60","2","Writing a Report",""
"62","2","The Accident","midwife, contraption, convoy, terrifying, stern, pedal, stone, pour, well-earned, encouragement, kerb, proclaim, indomitable, comic turn, venture, occur, fixed, confusion, apparently, hurl, full frontal, emit, gutter, groan, peer, dazed, whingeing, merely, make a fuss, outraged, vanish, menace, assault, offence, escort, concussion, erratic, horrified, remorseful, bicycle, decide, straight forward, cross, slap, bean, suffer, injured"
"68","2","Signs",""
"70","2","Stress","affect, identify, cause, handle, fatigue, anxiety, participate, behaviour, work performance, increase, supervisor, sort out, state, perform, alert, tedious, supervision, harassment, amount, prevent, relief, encourage, sufficient, duty, burn-out"
"74","2","Giving Instructions","purpose, procedure, repeat, straight, firm grip, straighten"
"76","2","Typhoid Mary","typhoid, cause, outbreak, disease, temper, maid, investigator, source, coincidence, excrement, refuse, proof, carving fork, closet, capture, specimen, cage, trial, named"
"82","2","61 Hours","sport, Band-Aid, aisle, presumably, bounce, ragdoll, blow, bust, collar bone, cradle, medic, imply, consent, snapped, clean break, compound, circuit breaker, heal, sprain, wrist, minor, contusion, cell phone, windshield, wheel, miles, the Lakes, mayhem, tow truck, pile-up"
"86","2","Chapter Checkpoint",""
"90","3","Something About Me","ticking along, pretty solidly, get rid of, rubbish, in public, apply for, subject, punch, weird, paragraph, incredibly, pathetic, carry on, clear up"
"96","3","Look","eyebrow, earlobe, nostril, jaw, index finger, thumb, wrist, ankle, cheekbone, eyelid, hairline, lip"
"100","3","Does My Head Look Big in This?","confront, relief, insult, interrogation, exception, outcast, approach, appalled, dropped from the cradle, bald, flicker, punch, rocked, genuinely, huddle, defeat, purpose, spiritual roadtrip, Judaism, Catholicism, interpret, veil, extent, suede, goss, tart, chick flick, decomposed, admit, pious, hypocritical, coward, ""wog"", audience, appreciate, cope, average, force, horrified, shower, per cent, gossip, chicken out, excuse, recognize"
"108","3","Structuring Paragraphs",""
"110","3","My Strange Addictions","pee, sheet, emergency room (ER), scoop, severely, Hoover vacuum, condiment, spice, aisle, stare, clerk, bagger, amusement park, roller coaster, vomit, trash can, cotton candy, waist, escort, pound, artificial, peak, consume, cereal, downward, pass out, dehydration, poison, side effect, occasional, frizz, moisture, foggy, TMZ, sink, obscenity, concerned, fluid, gallon, inch, malfunction, recipe, starve, raging"
"116","3","It's a Wonderful, Digital World?","exposed to, diverse, concerned, considerable, overwhelmed, credit, outcome, cause, recent, survey, content, interact, thus, burden, research, multiple, manner, cyberbullying, significantly, reveal, affected, acknowledge, image, opinion, topic, emotional, support, diversity, increase, celebrity, spared, force, mean, benefit, escape"
"122","3","Using Formal and Informal Language",""
"124","3","Simon vs the Homo Sapiens Agenda","confide in, blackmail, excerpt, entire, shrug, atrium, stampede, reassurance, relieved, locker, nod, toss, slat, etch, evil, dread, cheek, Elmo, yank, stink-eye, disaster, dozen, rehearsal, harass, taunt, apology, knuckle, progressive, rip me a new one, humiliate, sob, sigh"
"130","3","Chapter Checkpoint",""
"134","4","Iconic Images","impression, impact, opinion, civic engagement, civil rights, plesiosaurus, supposedly, hoax"
"138","4","Nothing on This Page is Real by Eli Saslow","gullible, gaunt, caravan, voting booth, oblivious, trademark, phrasing, awkward, recoil, yank, confirm"
"146","4","Selecting Sources",""
"148","4","Boy A by Jonathan Trigell","guilty, horrible, released, public outrage, case worker, past, landlady, coworker, disappear, tail off, stock, panic button, pager, saliva, hover, do time, pick-up, engaged, tremulous, quiver, spew out, notch, squirm, hallway, deserted, pre-dawn, squalid, ominous, devoid of, determined, cautiously, momentum, blur, vision, wheely-bin, concealment, succession, crouch down, topple, pus-green, illuminate, letterbox, guilty, horrible, released, case worker, past, office, disappear, understand, coworker, blinded, hide, unlock, force"
"156","4","FACT FILE THE UK",""
"160","4","Life in the UK","population, former, opposed to, increase, household, poll, three quarters, independent, scholarship, fee, prestigious, rank, slogan, dentistry, resident, survey, fund, income level"
"164","4","You, Work and the Law","Working Environment Act, contribute, ensure, minimum wage, trade union, itemized, pay statement, deduct, terminate, notice, give notice, reference"
"168","4","Black Hoodie","escalator, hoodie, tail, leisure time, buzz, Transition Year, mini-company, locked, omitted, shoplifting, wastage, consultancy firm, retail outlet, practice, garda, CCTV footage, muppet, NME, overheads, premises, reconvene, wheelbarrow, shin-guards, trap, wipe, Fed, plainclothes, inflict, incarcerate, business venture"
"174","4","Apprenticeships Abroad?",""
"176","4","The Hate U Give","prestigious, fatal, registered nurse, sprout, visible, cuss, maneuver, abandoned, ignition, brights, crank, license, registration, insurance, pound, badge, buzz cut, taillight, yank, pat down, jerk, emerge, inch"
"184","4","FACT FILE USA",""
"188","4","Life in the USA","citizen, plantation, prejudice, decrease, significantly, election, suburb, decade, Census Bureau, increase, achieve, scholarship, MIT, insure, senior citizen, volunteerism, engage in, homeless shelter"
"192","4","Young Activists","activist, cause, rally, resistance, prominent, rural, solitary, emission, plead, implement, universal, measure, background check, high-capacity bullet magazine, modified, in accordance, Nobel Prize Laureate, statement, quarterback, national anthem, condemnation, subsequently"
"201","5","Songs and Rhymes",""
"205","5","Let's Go Outside!","urge, asset, embrace, encourage, preparation, toddler, chase, interact, sandbox, shovel, take turns, hike, adventure, bug, magnifying glass, cone, develop, uneven ground, pre-schooler, slide, surface, obstacle course, various, log, engage, hide-and-seek, arteries, coordination, posture, flexibility, foundation, lifestyle-related diseases, heart disease, cancer, obese, content, supplements, nutrition, harvest, employee, role model, mentally, intellectual, conviction, aspect"
"211","5","You - A Role Model?","reasoning, commitment, promise, apologize, admit, look up to, influence, guidelines, treat, polite, grateful, out loud, tough, decision, pros, cons, similar, follow through, on time, mistake"
"217","5","Tic and Shout","bark, trig, hearing impaired, equator, freshman, bless, locker, cretin, howl, ease, slide, lap, outburst, urge, funeral, twitch, cuss, palm, rub, stir, meds, pond, brawler, disciplinary slip, clench, jab, smothery, jerk, squeak, startle, plague, flyby, prep days, elementary school, ADD, self-contained, aide, grade, leash, treat, pee, groan, be mainstreamed, merit, under wraps, pace, wrist, assembly, rehearse, grin, the powers that be, permission, attend, entire, cave, audience, dim, ripple, oddness, squirm, blurt out, chuckle, toss, torso, mating call, pounding, release, rendition, jolt, live socket, hulking, smart-ass"
"227","5","Occupations in Healthcare","occupation, community services, emergency call out, organ failure, colleague, prioritise, de-briefing, vehicle, pharmacy, duty, prescription, in stock, key task, dental treatment, preventive, anaesthetics, orthodontics, condition, abnormality, hair removal, apparatus, personalised, meticulous, interpret"
"233","5","The Nursing Home","voluntary, nutrition, occupational therapist, adjust, surroundings, lactose intolerance, senior citizen, ward, geriatric, measure, roster"
"239","5","Elizabeth Is Missing","excerpt, recognize, carve, reassuring, threshold, drunk and disorderly, slippery, surface, cardigan, reminder, square, edge, shuffle, recipe, divide, epaulette, obey, relief, counter, grin, forensic, patch, sleeve"
"250","6","Up Front","aware of, develop, skill, service-minded, polite, healthcare sector, patient, client, comfortable, answer, appointment, manage, upset (adj), handle (v), no matter, supervisor, co-worker, up for, challenge"
"254","6","Writing a Formal Text",""
"256","6","Randy Decides","graduate, voluntary, encourage, sibling, wriggle out of, bobbed, stuffed animal, diaper, throw up, eyebrow, baby wipes, towel, offensive lineman, bashed up, backwards, bottom, rash (n), forehead, certificate, certified, amniocentesis, a way with her, Lamaze, reputation, doughnut"
"262","6","Providing Health and Well-Being","sweat gland, hair follicle, capillary, oil gland, sensory cell, pain receptor, podiatrist, facial, waxing, exfoliation, acne, indulge, revitalising, nutrient-rich, hydrate, restore, hammer toe, callus, bunion, enhance"
"266","6","Discussing Vocational Topics",""
"268","6","OCD and a Lacerated Liver",""
"274","6","Health by the Episode",""
"277","6","With a Little Help","guide dog, assistance, tether, prevent, overwhelmed, bond with, benefit, available, operated, straps, circulation, digestion, independently, access (v), kitchen appliance, fur, recognize, unsurprisingly, gradually, tracheotomy, rely on, attach, cheek, character, in advance, algorithm"
"282","6","Cheating Death?","cancer, pass away, future, science, cryonics, pronounce, prevent, damage, memory, storage, facility, tissue, long-term, liquid, container, kidney, thaw out, cure, anti-freeze, storage facility, dry ice, sign up, preserve, take part, memories"
"304","7","Hunt for the Wilderpeople","bush, foster care, Child Welfare Services, skux, chur, wildebeest, ranger, juvie"
"308","7","FACT FILE NEW ZEALAND",""
"312","7","Street Art","concept, striking, awareness, canvas, stencil, elaborate, mural, acknowledge, commentary, boundary, gable, territorial, promote, diversity, paramilitary, blend, cause, combat, injustice, revitalize, explanatory, inequality"
"314","7","The Painting","canvas, generous, hand-out, debt, habit, settlement, determined, cross-legged, petrol drums, doodle, scrap of card, air strip, haunches, gingerly, squiggle, tear, restorer, chink, drawl, syllable, bellow, aggrieved, exhibition"
"318","7","FACT FILE AUSTRALIA",""
"322","7","The Hockey Sweater","skating rink, battle, tranquility, recite, prayer, Maurice Richard, comb, glue, lace, stick, referee, blazing, leaf through, order form, gentle hand, wrapping, disappointment, sorrow, maple, trounce, smooth, sleeve, crease, abominable, chest, glove, despair, insult, be obliged to, forward, penalty, rink, persecution, relieved, debris, vicar, moth"
"328","7","FACT FILE CANADA",""
"334","7","How to be a Canadian","blend in, insult, casual, objective, cane, agog, flustered, wounded, extraction, slur, herring, Mississauga"
"336","7","Gaming Culture","rapid, in the making, excel, arcade, graphics, attempt, connection, distinguish, exposure, range, subsequently, establish, exchange, provide, appearance, cosplayer, villain, convention, community, feature, abbreviation, opponent, originate, quest, solve, riddle, combat, gamification, foresee, collaboration, transfer"
"346","8","Sustainable Development","developing region, poverty line, progress, access, consume, forestry, biodiversity, degrade, rural, migrate, malnutrition, nourish, foundation, gender equality, fundamental right, prosperous, domestic violence, genital mutilation, decline, crucial"
"352","8","Planet, or Plastic?","versatile, durability, dissolve, stocked, plastic-wrapped, century, mere, waste, staggering, stun, crunch numbers, sink, estimate, coastal region, biodegrade, constituent, species, abandon, discard, microplastics, pristine, looming, denier, dispose of, irretrievable, Ph.D., limpet, high tide line, forensic chemist, coin a term, chop, reel, fine-mesh, gut, smattering, confetti, desirable, property, malleability, additive, alarmist, aesthetic"
"362","8","Fact File India",""
"367","8","The most dangerous country for women","war-torn, enshrine, designation, high-rise, trafficking, consider, despite, denial, existential anxiety, modify, behaviour, censor, vigilance, fixed, alert, honour society, approximately, minor, vicious, value, archaic, irrespective, abuse, coverage, shift, flourish, affirmative action, pros and cons, mindset, impact"
"374","8","Home","border, dizzy, tin factory, belly, anthem, stomach, fence, pity, strip search, asylum seeker, savage, limb, indignity, tender, insult, rubble, pride, survival, barrel, damp"
"378","8","Fact File English-Speaking Africa","trade, empire, tribe, rivalry, scramble, border, purpose, negotiation, trade union, uprising, armed, civil war, drought, insufficient, poverty, literacy, profit"
"382","8","Chameleon","perforate, eardrum, patch up, whip out, mastah, challenge, perception, flawed, perk, lenient, misbehavior, rod, champion, justice, supervision, mixed, genuinely, bereaved, bridge, gap, melting pot, homeland, township, give a leg up, in the dock, be well versed, oppressor, boundary, merely, mug, chameleon, accidentally, special treatment, opportunity, realize, scholarship, racial separation, aptitude, counselor, recess, playground, confused, segregation, rescue, several, reply, cheer, tribe"
"392","8","Look at Africa","number-plate, pour, undoubtedly, increasing, prosperity, selfishness, despair, shrug, in some respects, civil war, cruelty, ignorant, graduate, servitude, claim"